subgroup,subgroup_size,subgroup_auc,bpsn_auc,bnsp_auc
homosexual_gay_or_lesbian,538,0.8428368506493507,0.9009077517600245,0.9609317543457675
muslim,1054,0.8622714892860689,0.9185493016689421,0.958962329455957
white,1178,0.8632191604429564,0.8891575235109717,0.9709205927148484
black,761,0.8651037966690346,0.8901627319055347,0.9699555104797578
jewish,411,0.901346252786829,0.9393110245228496,0.9585482062780268
male,2112,0.9354561941964286,0.954396987669783,0.9644369971567276
female,2602,0.9421695001268714,0.9654917095968553,0.9588565995185234
christian,2109,0.942743047719351,0.9664993775458458,0.9568142550708385
psychiatric_or_mental_illness,238,0.9626610305958132,0.94694208152948,0.9802718373203719
