subgroup,subgroup_size,subgroup_auc,bpsn_auc,bnsp_auc
homosexual_gay_or_lesbian,538,0.7810217126623377,0.7816131416983689,0.9458777351362508
muslim,1054,0.7816177277788522,0.808847049804767,0.933583591820252
white,1178,0.7876538758691733,0.7638845350052246,0.9564445756031126
black,761,0.7892414555213514,0.7733358429172366,0.9514781775058618
jewish,411,0.8577430972388955,0.8535099824634188,0.9449231733051965
male,2112,0.8610630580357143,0.8635643837166421,0.9378849849289466
female,2602,0.879081451408272,0.8832203010426409,0.9348742056536674
psychiatric_or_mental_illness,238,0.8847624798711755,0.8579134741511802,0.9519338971017034
christian,2109,0.8952230497254194,0.9154026035139275,0.9170884215582085
