subgroup,subgroup_size,subgroup_auc,bpsn_auc,bnsp_auc
homosexual_gay_or_lesbian,538,0.8389813311688311,0.8747328534260354,0.9677969155643872
white,1178,0.8532835436518156,0.8613835553814002,0.9750721115452106
muslim,1054,0.8558833830824965,0.8954236647235931,0.9652416725707237
black,761,0.8600994553634856,0.8683600341887834,0.973666181937463
jewish,411,0.8929000171497171,0.9236831585663192,0.9627631231864944
male,2112,0.9342250279017857,0.9392629722911359,0.9716383039794418
female,2602,0.9389945445318446,0.9501679580599899,0.9668951307367639
christian,2109,0.9427192256576143,0.9595557551417273,0.9621601782970503
psychiatric_or_mental_illness,238,0.9576288244766507,0.9361122761486018,0.9826070909145921
