subgroup,subgroup_size,subgroup_auc,bpsn_auc,bnsp_auc
homosexual_gay_or_lesbian,538,0.834483225108225,0.9044032041191132,0.9549439109438661
white,1178,0.8547669327839299,0.8901805773249738,0.9666371985411075
muslim,1054,0.8583821676694913,0.9216900315550314,0.9530063429066613
black,761,0.8615202462704239,0.9004492756799403,0.9636495104673382
jewish,411,0.9044760761447437,0.9329207805650659,0.9608210234766552
male,2112,0.9364885602678572,0.9480602103847775,0.96684282800196
christian,2109,0.9421073748087966,0.9698569903838853,0.9487810808226352
female,2602,0.943275183963461,0.960686322598574,0.9605470699810322
psychiatric_or_mental_illness,238,0.9560185185185185,0.9494504697994135,0.9743184275827882
