subgroup,subgroup_size,demographics_parity,equalized_opportunity
christian,2109,0.05357989568515884,0.41904761904761906
female,2602,0.07263643351268255,0.46285714285714286
jewish,411,0.0948905109489051,0.38235294117647056
male,2112,0.10890151515151515,0.534375
muslim,1054,0.14705882352941177,0.463519313304721
white,1178,0.19100169779286927,0.4985835694050991
black,761,0.19579500657030224,0.47560975609756095
homosexual_gay_or_lesbian,538,0.20074349442379183,0.512987012987013
psychiatric_or_mental_illness,238,0.20168067226890757,0.6851851851851852
