subgroup,subgroup_size,subgroup_auc,bpsn_auc,bnsp_auc
homosexual_gay_or_lesbian,538,0.8362249729437228,0.9177690733088459,0.9448708516217125
black,761,0.8580866682453233,0.9003608386307469,0.9597257426274223
muslim,1054,0.8593649532392716,0.931986588142903,0.9435514588511175
white,1178,0.8635694050991503,0.9071068443051202,0.9589544220293258
jewish,411,0.905805179214543,0.9453457716871008,0.9484234041150092
male,2112,0.929762486049107,0.9630871385826356,0.9465233658305889
christian,2109,0.9338862559241706,0.9655995000046278,0.9442685887279927
female,2602,0.9378787109870591,0.9740867355223762,0.9376196531470271
psychiatric_or_mental_illness,238,0.9604468599033816,0.9483600650794634,0.97317313060551
